Task 0, Step 181, Simulation 18
Goal: Goal: put 1 wineglass on the kitchentable, put 1 cutleryfork on the kitchentable.
Complete trajectory:
[walk] <kitchen> (11)
[walk] <wineglass> (368)
[grab] <wineglass> (368)
[putback] <wineglass> (368) <kitchencounter> (93)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <wineglass> (368)
[walk] <kitchentable> (72)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
[walk] <kitchentable> (72)
[walk] <kitchentable> (72)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
[walk] <wineglass> (368)
False
