Task 0, Step 1, Simulation 3
Complete trajectory:
[walk] <knifeblock> (115)
[walk] <cutleryfork> (368)
[grab] <cutleryfork> (368)
[putback] <cutleryfork> (368) <kitchencounter> (93)
[walk] <kitchentable> (72)
[walk] <faucet> (91)
[walk] <kitchencabinet> (80)
[walk] <kitchencounterdrawer> (82)
[walk] <kitchencounterdrawer> (87)
[walk] <cutlets> (60)
[walk] <condimentbottle> (150)
[walk] <plum> (53)
[walk] <chips> (67)
[walk] <book> (145)
[walk] <cookingpot> (121)
[walk] <condimentbottle> (149)
[walk] <fridge> (103)
[walk] <creamybuns> (56)
[walk] <kitchencounterdrawer> (86)
[walk] <plum> (53)
[walk] <dishwasher> (104)
